year,country,industry,action,asset,data_type,data_stolen
2010,US,923140,['misuse'],S - Database,['Unknown'],Yes
2020,ES,541511,['error'],S - File,"['Personal', 'Payment']",Yes
2014,US,621111,['physical'],U - Laptop,['Personal'],Potentially
2014,US,622110,['error'],M - Disk media,['Personal'],Potentially
2012,GB,51919,['hacking'],S - Web application,['Personal'],Yes
2014,US,923140,['error'],M - Documents,['Unknown'],Yes
2014,US,923140,['error'],M - Documents,['Unknown'],Yes
2017,US,622110,['hacking'],S - Web application,['Personal'],Yes
2013,AZ,221118,['hacking'],S - Web application,['Internal'],Yes
2011,US,813410,['physical'],U - Desktop,['Medical'],Potentially
2018,US,923120,"['misuse', 'physical']",U - Laptop,"['Credentials', 'Medical', 'Personal']",Yes
2016,CA,921110,['hacking'],S - Web application,"['Internal', 'Other']",Yes
2012,US,923140,['error'],M - Documents,['Unknown'],Unknown
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2017,US,622110,['physical'],M - Payment card,['Payment'],Yes
2012,US,921130,['misuse'],U - Desktop,['Internal'],Yes
2017,US,622110,['error'],S - Mail,['Other'],Potentially
2014,US,524126,['error'],M - Flash drive,['Medical'],Potentially
2010,US,524114,['error'],M - Documents,"['Payment', 'Medical']",Potentially
2016,IN,922120,"['misuse', 'social']",P - Manager,['Internal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2010,US,621210,['physical'],U - Laptop,['Medical'],Potentially
2015,US,611310,"['hacking', 'malware', 'social']",S - Database,['Personal'],Yes
2016,US,522110,['physical'],U - Laptop,['Personal'],Potentially
2014,US,622110,['physical'],M - Documents,['Medical'],Yes
2016,US,441120,['misuse'],M - Documents,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2012,GB,6211,['hacking'],S - Mail,"['Medical', 'Personal']",Yes
2012,US,923140,['error'],S - Mail,['Unknown'],Yes
2015,US,611111,['error'],S - Database,[],
2011,US,624410,['physical'],M - Documents,['Medical'],Potentially
2013,GB,624190,['physical'],U - Laptop,"['Personal', 'Internal']",Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2019,US,6221,['malware'],S - Unknown,['Medical'],Potentially
2015,US,611110,['error'],U - Desktop,"['Medical', 'Personal']",Yes
2013,US,622110,['physical'],U - Laptop,['Medical'],Potentially
2012,US,332993,['hacking'],S - Web application,"['Personal', 'Internal', 'System']",Yes
2011,GB,524114,['error'],M - Disk media,['Personal'],Potentially
2019,EC,518210,['error'],S - Database,"['Personal', 'Bank']",Yes
2018,US,722513,"['hacking', 'malware']",U - POS terminal,['Payment'],Yes
2016,GB,447110,['physical'],T - Gas terminal,['Payment'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2012,US,923140,['error'],S - Mail,['Unknown'],Yes
2010,US,923140,['misuse'],U - Desktop,['Unknown'],Yes
2010,US,621610,['physical'],U - Laptop,['Medical'],Potentially
2016,US,485300,['hacking'],S - Web application,['Personal'],Yes
2009,US,334511,"['hacking', 'malware', 'social']",S - Web application,"['Credentials', 'Secrets']",Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2012,US,611710,['hacking'],Unknown,"['Classified', 'Personal', 'Internal']",Potentially
2015,CA,921110,['hacking'],S - Web application,[],
2007,US,522120,['misuse'],S - Database,['Bank'],Yes
2012,US,622110,['error'],M - Documents,['Medical'],Yes
2013,US,622110,['error'],M - Documents,['Medical'],Yes
2017,US,622110,['physical'],M - Documents,['Medical'],Potentially
2012,US,927110,['physical'],U - Laptop,['Personal'],Potentially
2019,Unknown,518210,['misuse'],S - Database,['Personal'],Yes
2018,US,238390,"['hacking', 'social']",S - Mail,"['Personal', 'Credentials']",Yes
2013,US,541511,['hacking'],Unknown,['Payment'],Yes
2015,US,813990,['unknown'],Unknown,['Internal'],Yes
2013,SY,511110,['hacking'],S - Web application,[],
2015,CA,622110,['error'],M - Documents,"['Medical', 'Personal']",Yes
2015,US,722511,"['misuse', 'social']",P - Cashier,['Payment'],Yes
2013,US,921110,['error'],S - Web application,['Personal'],Yes
2012,US,722,"['misuse', 'social']",M - Payment card,['Payment'],Yes
2012,US,452111,['error'],Unknown,['Medical'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2015,CA,92,['error'],S - Web application,['Personal'],Yes
2013,US,511110,['hacking'],S - Web application,['Unknown'],Yes
2016,FR,524210,['misuse'],Unknown,['Personal'],Yes
2023,US,511210,"['hacking', 'malware']",S - File,['Personal'],Yes
2014,US,622110,['misuse'],S - Database,['Personal'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Unknown
2012,US,923140,['error'],M - Documents,['Unknown'],Yes
2015,US,921110,['error'],S - Database,['Personal'],Yes
2024,US,511210,['misuse'],U - Desktop or laptop,"['Medical', 'Personal']",Yes
2013,US,621111,['misuse'],M - Documents,['Medical'],Yes
2011,US,621498,['unknown'],M - Documents,['Medical'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2006,US,519130,['error'],S - File,['Personal'],Yes
2012,CA,561311,['error'],M - Flash drive,['Personal'],Yes
2009,US,561990,['misuse'],S - Database,['Personal'],Yes
2019,ES,92111,['malware'],S - Unknown,[],
2013,RU,521110,['hacking'],S - Web application,[],
2012,CA,541511,['hacking'],S - File,['Internal'],Yes
2008,US,92811,['misuse'],S - Database,['Other'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2019,ID,928120,"['hacking', 'malware']",S - Mail,[],
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2013,CA,000,['physical'],M - Smart card,['Personal'],Potentially
