year,country,industry,action,asset,data_type,data_stolen,incident_id,sector,asset_clean,data_stolen_score
2020,ES,541511,['error'],S - File,"['Personal', 'Payment']",Yes,1,Professional Services,File,3.0
2016,FR,524210,['misuse'],,['Personal'],Yes,69,Finance & Insurance,,3.0
2019,ES,92111,['malware'],S - Unknown,[],,82,Public Administration,Unknown,
2014,AT,813940,['hacking'],,[],,103,Other Services,,
2007,IE,622110,['physical'],S - Database,['Medical'],Potentially,115,Health Care,Database,2.0
2013,EE,813940,['hacking'],S - Web application,[],,184,Other Services,Web application,
2024,IT,51,['hacking'],S - Web application,"['Sensitive Personal', 'Personal']",Yes,228,Information,Web application,3.0
2020,CY,518210,['error'],S - Database,['Personal'],Yes,362,Information,Database,3.0
2013,DE,517110,['hacking'],S - Database,[],,390,Information,Database,
2013,IE,522110,['error'],M - Documents,['Personal'],Yes,406,Finance & Insurance,Documents,3.0
2013,CZ,523210,['hacking'],S - Web application,['Bank'],Yes,486,Finance & Insurance,Web application,3.0
2013,CZ,541511,['hacking'],S - Web application,['Credentials'],Yes,542,Professional Services,Web application,3.0
2020,ES,451110,['error'],S - Database,"['Personal', 'Credentials']",Yes,582,Retail Trade,Database,3.0
2012,LU,92,"['hacking', 'malware', 'social']",U - Desktop,"['Classified', 'Internal', 'Credentials', 'Secrets', 'System']",Yes,594,Public Administration,Desktop,3.0
2020,DE,541611,"['hacking', 'malware']",S - Unknown,"['Internal', 'Personal', 'Source code']",Yes,598,Professional Services,Unknown,3.0
2025,FR,448310,['hacking'],S - Web application,['Unknown'],Yes,628,Retail Trade,Web application,3.0
2019,FR,72,['error'],S - Database,"['Payment', 'Personal']",Yes,717,Accommodation & Food,Database,3.0
2012,DE,92219,['hacking'],S - Database,"['Credentials', 'Personal', 'Internal']",Yes,740,Public Administration,Database,3.0
2015,DE,521110,['hacking'],S - Database,"['Personal', 'Internal']",Yes,754,Finance & Insurance,Database,3.0
2019,EE,511210,['error'],S - Database,['Personal'],Yes,771,Information,Database,3.0
2014,NL,812990,['hacking'],S - Web application,[],,780,Other Services,Web application,
2012,ES,511210,['hacking'],S - Unknown,"['Credentials', 'Personal']",,796,Information,Unknown,
2025,FR,481111,"['hacking', 'social']",S - Web application,['Unknown'],Yes,806,Transportation,Web application,3.0
2015,IE,923120,['error'],S - Web application,['Medical'],Yes,839,Public Administration,Web application,3.0
2011,DE,511210,['hacking'],S - Unknown,['Personal'],Yes,854,Information,Unknown,3.0
2017,SE,334220,"['hacking', 'social']",Other,[],,869,Manufacturing,Other,
2013,RO,922,"['hacking', 'malware', 'social']",U - Desktop,"['Internal', 'Unknown', 'System', 'Secrets']",Yes,909,Public Administration,Desktop,3.0
2013,IE,7112,['physical'],U - Laptop,['Personal'],Potentially,911,Arts & Entertainment,Laptop,2.0
2017,CY,523,['hacking'],S - Database,['Secrets'],Yes,953,Finance & Insurance,Database,3.0
2008,SE,522110,['hacking'],S - Web application,['Unknown'],Yes,975,Finance & Insurance,Web application,3.0
2016,PL,511210,['hacking'],S - Web application,['Credentials'],Yes,978,Information,Web application,3.0
2015,FR,927110,['hacking'],S - Web application,"['Credentials', 'Personal', 'System']",Yes,992,Public Administration,Web application,3.0
2016,AT,48,['error'],S - Mail,['Other'],Yes,1001,Transportation,Mail,3.0
2015,NL,92,['misuse'],S - Database,"['Personal', 'Internal']",Yes,1054,Public Administration,Database,3.0
2012,IE,522110,['error'],,[],,1060,Finance & Insurance,,
2016,CZ,541511,['hacking'],,"['Credentials', 'Personal']",Yes,1070,Professional Services,,3.0
2015,IE,622110,['error'],M - Documents,"['Medical', 'Personal']",Yes,1087,Health Care,Documents,3.0
2020,FR,325412,['error'],S - Database,"['Personal', 'Internal']",Yes,1152,Manufacturing,Database,3.0
2013,DE,336111,"['hacking', 'malware']",S - Web application,['Payment'],Yes,1193,Manufacturing,Web application,3.0
2013,NL,921,['hacking'],S - Web application,[],,1221,Public Administration,Web application,
2013,FR,336120,['hacking'],S - Database,"['Credentials', 'Personal']",Yes,1291,Manufacturing,Database,3.0
2012,BE,482,['error'],S - Database,['Personal'],Yes,1316,Transportation,Database,3.0
2019,BE,5241,['physical'],M - Unknown,['Personal'],Potentially,1339,Finance & Insurance,Unknown,2.0
2013,IE,522110,['physical'],T - ATM,['Payment'],Yes,1342,Finance & Insurance,ATM,3.0
2013,ES,721110,['hacking'],S - Web application,['Payment'],Yes,1395,Accommodation & Food,Web application,3.0
2015,IE,522110,['unknown'],,['Internal'],Yes,1452,Finance & Insurance,,3.0
2016,IE,622110,['error'],M - Documents,['Medical'],Yes,1480,Health Care,Documents,3.0
2014,DE,541511,['hacking'],S - Web application,['Personal'],Yes,1517,Professional Services,Web application,3.0
2015,IT,511210,['hacking'],S - Unknown,"['Source code', 'Internal']",Yes,1526,Information,Unknown,3.0
2013,PT,922,"['hacking', 'malware', 'social']",U - Desktop,"['Internal', 'Unknown', 'System', 'Secrets']",Yes,1556,Public Administration,Desktop,3.0
2025,FR,448310,['hacking'],S - Web application,['Unknown'],Yes,1583,Retail Trade,Web application,3.0
2016,DK,522110,['misuse'],M - Unknown,['Virtual currency'],Yes,1607,Finance & Insurance,Unknown,3.0
2012,NL,517110,['hacking'],S - Unknown,"['Bank', 'Personal']",Yes,1621,Information,Unknown,3.0
2015,DK,624190,['error'],M - Disk media,['Medical'],Yes,1627,Health Care,Disk media,3.0
2021,FR,6221,['malware'],S - Unknown,[],,1654,Health Care,Unknown,
2013,IE,522130,['physical'],U - Laptop,['Unknown'],Potentially,1670,Finance & Insurance,Laptop,2.0
2012,LV,928120,"['hacking', 'malware', 'social']",U - Desktop,"['Classified', 'Internal', 'Credentials', 'Secrets', 'System']",Yes,1682,Public Administration,Desktop,3.0
2013,IE,921130,['error'],S - Mail,['Personal'],Yes,1688,Public Administration,Mail,3.0
2016,IE,622110,['error'],M - Documents,['Medical'],Yes,1723,Health Care,Documents,3.0
2012,NL,517110,"['error', 'hacking', 'misuse']",N - Router or switch,['Personal'],Yes,1726,Information,Router or switch,3.0
2019,DE,518210,['hacking'],S - Database,['Personal'],Yes,1747,Information,Database,3.0
2015,SE,522110,['hacking'],S - Web application,[],,1766,Finance & Insurance,Web application,
2013,DE,611310,['hacking'],,"['Credentials', 'Internal']",Yes,1812,Education,,3.0
2013,DK,519130,['hacking'],S - Web application,[],,1813,Information,Web application,
