incident_id,data_type
1,Personal
1,Payment
69,Personal
115,Medical
228,Sensitive Personal
228,Personal
362,Personal
406,Personal
486,Bank
542,Credentials
582,Personal
582,Credentials
594,Classified
594,Internal
594,Credentials
594,Secrets
594,System
598,Internal
598,Personal
598,Source code
628,Unknown
717,Payment
717,Personal
740,Credentials
740,Personal
740,Internal
754,Personal
754,Internal
771,Personal
796,Credentials
796,Personal
806,Unknown
839,Medical
854,Personal
909,Internal
909,Unknown
909,System
909,Secrets
911,Personal
953,Secrets
975,Unknown
978,Credentials
992,Credentials
992,Personal
992,System
1001,Other
1054,Personal
1054,Internal
1070,Credentials
1070,Personal
1087,Medical
1087,Personal
1152,Personal
1152,Internal
1193,Payment
1291,Credentials
1291,Personal
1316,Personal
1339,Personal
1342,Payment
1395,Payment
1452,Internal
1480,Medical
1517,Personal
1526,Source code
1526,Internal
1556,Internal
1556,Unknown
1556,System
1556,Secrets
1583,Unknown
1607,Virtual currency
1621,Bank
1621,Personal
1627,Medical
1670,Unknown
1682,Classified
1682,Internal
1682,Credentials
1682,Secrets
1682,System
1688,Personal
1723,Medical
1726,Personal
1747,Personal
1812,Credentials
1812,Internal
1837,Personal
1888,Personal
1915,Classified
1915,Internal
1915,Credentials
1915,Secrets
1915,System
1956,Credentials
1968,Unknown
1992,Credentials
1992,Personal
2010,Classified
2010,Internal
2010,Credentials
2010,Secrets
2010,System
2046,Unknown
2057,Unknown
2089,Unknown
2124,Personal
2150,Personal
2206,Medical
2266,Unknown
2292,Credentials
2365,Medical
2439,Credentials
2439,Personal
2476,Bank
2499,Medical
2527,Personal
2536,Other
2644,Bank
2644,Personal
2654,Classified
2703,Personal
2703,Internal
2744,Payment
2744,Personal
2747,Other
2754,Credentials
2802,Personal
2815,Personal
2848,Bank
2848,Personal
2864,Credentials
2916,Credentials
2920,Personal
2920,Bank
2920,Internal
2929,Unknown
2982,Internal
2982,Unknown
2982,System
2982,Secrets
3021,Personal
3027,Medical
3037,Unknown
3055,Personal
3055,Internal
3087,Personal
3106,Personal
3174,Personal
3205,Personal
3229,Internal
3229,Payment
3257,Unknown
3308,Credentials
3308,Virtual currency
3313,Personal
3401,Medical
3413,Internal
3444,Internal
3444,Unknown
3444,System
3444,Secrets
3507,Medical
3554,Classified
3554,Internal
3609,Unknown
3638,Personal
3716,Classified
3716,Internal
3716,Credentials
3716,Secrets
3716,System
3746,Medical
3762,Payment
3882,Personal
3882,Internal
3891,Credentials
3949,Personal
4015,Bank
4015,Personal
4027,Personal
4045,Internal
4096,Personal
4100,Medical
4128,Credentials
4143,Personal
4172,Personal
4213,Personal
4215,Internal
4324,Internal
